Color! java.awt.Color[r=106,g=125,b=106]
Color! java.awt.Color[r=105,g=123,b=107]
Color! java.awt.Color[r=103,g=124,b=107]
Color! java.awt.Color[r=101,g=122,b=107]
Color! java.awt.Color[r=100,g=123,b=107]
Color! java.awt.Color[r=103,g=127,b=114]
Color! java.awt.Color[r=111,g=135,b=122]
Color! java.awt.Color[r=100,g=126,b=113]
Color! java.awt.Color[r=97,g=123,b=110]
Color! java.awt.Color[r=99,g=125,b=114]
Color! java.awt.Color[r=107,g=133,b=122]
Color! java.awt.Color[r=102,g=128,b=117]
Color! java.awt.Color[r=100,g=126,b=115]
Color! java.awt.Color[r=101,g=127,b=116]
Color! java.awt.Color[r=98,g=121,b=115]
Color! java.awt.Color[r=101,g=124,b=118]
Color! java.awt.Color[r=102,g=125,b=119]
Color! java.awt.Color[r=95,g=118,b=112]
Color! java.awt.Color[r=97,g=120,b=114]
Color! java.awt.Color[r=105,g=128,b=122]
Color! java.awt.Color[r=104,g=125,b=120]
Color! java.awt.Color[r=106,g=127,b=122]
Color! java.awt.Color[r=102,g=123,b=118]
Color! java.awt.Color[r=103,g=124,b=119]
Color! java.awt.Color[r=109,g=130,b=125]
Color! java.awt.Color[r=105,g=126,b=121]
Color! java.awt.Color[r=99,g=122,b=114]
Color! java.awt.Color[r=100,g=123,b=115]
Color! java.awt.Color[r=104,g=125,b=118]
Color! java.awt.Color[r=102,g=119,b=113]
Color! java.awt.Color[r=86,g=103,b=97]
Color! java.awt.Color[r=74,g=91,b=85]
Color! java.awt.Color[r=65,g=80,b=75]
Color! java.awt.Color[r=64,g=76,b=74]
Color! java.awt.Color[r=67,g=77,b=76]
Color! java.awt.Color[r=88,g=98,b=99]
Color! java.awt.Color[r=90,g=100,b=101]
Color! java.awt.Color[r=82,g=91,b=96]
Color! java.awt.Color[r=72,g=81,b=86]
Color! java.awt.Color[r=60,g=67,b=75]
Color! java.awt.Color[r=63,g=70,b=78]
Color! java.awt.Color[r=57,g=61,b=72]
Color! java.awt.Color[r=60,g=64,b=75]
Color! java.awt.Color[r=53,g=57,b=66]
Color! java.awt.Color[r=47,g=51,b=60]
